Exit,City,Street,Timestamp,Vehicles Count,Traffic State,Gate State
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:29,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:30,19,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:30,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:31,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:31,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:32,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:33,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:33,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:34,20,Heavy,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:34,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:35,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:35,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:36,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:36,21,Heavy,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:37,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:37,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:38,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:38,18,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:39,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:39,17,Medium,Open
